Invoice ID,Branch,Region,Customer_type,Gender,Product_line,Unit price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_income,Rating
750-67-8428,A,Chandighar,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01-05-2021,13:08,Paytm wallet,522.83,26.1415,9.1
226-31-3081,C,Mohali,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03-08-2021,10:29,Cash,76.4,3.82,9.6
631-41-3108,A,Chandighar,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03-03-2021,13:23,Credit card,324.31,16.2155,7.4
123-19-1176,A,Chandighar,Member,Male,Health and beauty,58.22,8,23.288,489.048,01-27-2021,20:33,Paytm wallet,465.76,23.288,8.4
373-73-7910,A,Chandighar,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,02-08-2021,10:37,Paytm wallet,604.17,30.2085,5.3
699-14-3026,C,Mohali,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,03-25-2021,18:30,Paytm wallet,597.73,29.8865,4.1
355-53-5943,A,Chandighar,Member,Female,Electronic accessories,68.84,6,20.652,433.692,02-25-2021,14:36,Paytm wallet,413.04,20.652,5.8
315-22-5665,C,Mohali,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,02-24-2021,11:38,Paytm wallet,735.6,36.78,8
665-32-9167,A,Chandighar,Member,Female,Health and beauty,36.26,2,3.626,76.146,01-10-2021,17:15,Credit card,72.52,3.626,7.2
692-92-5582,B,Ferozepur,Member,Female,Food and beverages,54.84,3,8.226,172.746,02-20-2021,13:27,Credit card,164.52,8.226,5.9
351-62-0822,B,Ferozepur,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02-06-2021,18:07,Paytm wallet,57.92,2.896,4.5
529-56-3974,B,Ferozepur,Member,Male,Electronic accessories,25.51,4,5.102,107.142,03-09-2021,17:03,Cash,102.04,5.102,6.8
365-64-0515,A,Chandighar,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,02-12-2021,10:25,Paytm wallet,234.75,11.7375,7.1
252-56-2699,A,Chandighar,Normal,Male,Food and beverages,43.19,10,21.595,453.495,02-07-2021,16:48,Paytm wallet,431.9,21.595,8.2
829-34-3910,A,Chandighar,Normal,Female,Health and beauty,71.38,10,35.69,749.49,03-29-2021,19:21,Cash,713.8,35.69,5.7
299-46-1805,B,Ferozepur,Member,Female,Sports and travel,93.72,6,28.116,590.436,01-15-2021,16:19,Cash,562.32,28.116,4.5
656-95-9349,A,Chandighar,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03-11-2021,11:03,Credit card,482.51,24.1255,4.6
765-26-6951,A,Chandighar,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01-01-2021,10:39,Credit card,435.66,21.783,6.9
329-62-1586,A,Chandighar,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,01-21-2021,18:00,Credit card,164.01,8.2005,8.6
319-50-3348,B,Ferozepur,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,03-11-2021,15:30,Paytm wallet,80.6,4.03,4.4
300-71-4605,C,Mohali,Member,Male,Electronic accessories,86.04,5,21.51,451.71,02-25-2021,11:24,Paytm wallet,430.2,21.51,4.8
371-85-5789,B,Ferozepur,Normal,Male,Health and beauty,87.98,3,13.197,277.137,03-05-2021,10:40,Paytm wallet,263.94,13.197,5.1
273-16-6619,B,Ferozepur,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,03-15-2021,12:20,Credit card,66.4,3.32,4.4
636-48-8204,A,Chandighar,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,02-17-2021,11:15,Paytm wallet,172.8,8.64,9.9
549-59-1358,A,Chandighar,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,03-02-2021,17:36,Paytm wallet,265.89,13.2945,6
227-03-5010,A,Chandighar,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,03-22-2021,19:20,Credit card,420.72,21.036,8.5
649-29-6775,B,Ferozepur,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,02-08-2021,15:31,Cash,33.52,1.676,6.7
189-17-4241,A,Chandighar,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,03-10-2021,12:17,Credit card,175.34,8.767,7.7
145-94-9061,B,Ferozepur,Normal,Female,Food and beverages,88.36,5,22.09,463.89,01-25-2021,19:48,Cash,441.8,22.09,9.6
848-62-7243,A,Chandighar,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,03-15-2021,15:36,Cash,224.01,11.2005,7.4
871-79-8483,B,Ferozepur,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,02-25-2021,19:39,Credit card,470.65,23.5325,4.8
149-71-6266,B,Ferozepur,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,01-28-2021,12:43,Cash,702.63,35.1315,4.5
640-49-2076,B,Ferozepur,Normal,Male,Sports and travel,83.78,8,33.512,703.752,01-10-2021,14:49,Cash,670.24,33.512,5.1
595-11-5460,A,Chandighar,Normal,Male,Health and beauty,96.58,2,9.658,202.818,03-15-2021,10:12,Credit card,193.16,9.658,5.1
